,alpha,crdm_sure_amt,crdm_sure_p,crdm_lott_amt,crdm_lott_p,crdm_amb_lev
2,-17114612.763944484,5.0,100.0,5.0,13.0,0.0
18,-17114612.763944484,5.0,100.0,5.0,13.0,0.0
25,-11629079.968045203,5.0,100.0,5.0,25.0,0.0
13,-11629079.968045203,5.0,100.0,5.0,25.0,0.0
6,-8116683.103371154,5.0,100.0,5.0,38.0,0.0
12,-8116683.103371154,5.0,100.0,5.0,38.0,0.0
3,-5814539.9840226015,5.0,100.0,5.0,50.0,0.0
16,-5814539.9840226015,5.0,100.0,5.0,50.0,0.0
5,-2413252.134425589,5.0,100.0,5.0,75.0,0.0
21,-2413252.134425589,5.0,100.0,5.0,75.0,0.0
45,0.12493874307662065,5.0,100.0,50.0,75.0,0.0
14,0.12493874307662065,5.0,100.0,50.0,75.0,0.0
28,0.1383458410239761,5.0,100.0,40.0,75.0,0.0
26,0.1383458410239761,5.0,100.0,40.0,75.0,0.0
8,0.20751876748423576,5.0,100.0,20.0,75.0,0.0
32,0.20751876748423576,5.0,100.0,20.0,75.0,0.0
36,0.3010300112488879,5.0,100.0,50.0,50.0,0.0
7,0.3010300112488879,5.0,100.0,50.0,50.0,0.0
19,0.3333333524425179,5.0,100.0,40.0,50.0,0.0
50,0.3333333524425179,5.0,100.0,40.0,50.0,0.0
38,0.420216425138608,5.0,100.0,50.0,38.0,0.0
11,0.420216425138608,5.0,100.0,50.0,38.0,0.0
37,0.4653095854521051,5.0,100.0,40.0,38.0,0.0
33,0.4653095854521051,5.0,100.0,40.0,38.0,0.0
48,0.5000000429956664,5.0,100.0,20.0,50.0,0.0
23,0.5000000429956664,5.0,100.0,20.0,50.0,0.0
43,0.6020600224977758,5.0,100.0,50.0,25.0,0.0
1,0.6020600224977758,5.0,100.0,50.0,25.0,0.0
29,0.6020600224977758,5.0,100.0,50.0,25.0,0.0
49,0.6120849447049296,5.0,100.0,8.0,75.0,0.0
31,0.6120849447049296,5.0,100.0,8.0,75.0,0.0
35,0.6666667048850358,5.0,100.0,40.0,25.0,0.0
42,0.6666667048850358,5.0,100.0,40.0,25.0,0.0
22,0.6979643981844533,5.0,100.0,20.0,38.0,0.0
30,0.6979643981844533,5.0,100.0,20.0,38.0,0.0
24,0.8860566935660343,5.0,100.0,50.0,13.0,0.0
39,0.8860566935660343,5.0,100.0,50.0,13.0,0.0
15,0.9811388801241661,5.0,100.0,40.0,13.0,0.0
10,0.9811388801241661,5.0,100.0,40.0,13.0,0.0
4,1.0000000859913327,5.0,100.0,20.0,25.0,0.0
46,1.0000000859913327,5.0,100.0,20.0,25.0,0.0
44,1.471708362370969,5.0,100.0,20.0,13.0,0.0
0,1.471708362370969,5.0,100.0,20.0,13.0,0.0
20,1.471708362370969,5.0,100.0,20.0,13.0,0.0
47,1.4747702214100396,5.0,100.0,8.0,50.0,0.0
51,1.4747702214100396,5.0,100.0,8.0,50.0,0.0
34,2.0586740430654977,5.0,100.0,8.0,38.0,0.0
27,2.0586740430654977,5.0,100.0,8.0,38.0,0.0
40,2.949540442820079,5.0,100.0,8.0,25.0,0.0
41,2.949540442820079,5.0,100.0,8.0,25.0,0.0
17,4.34086296157309,5.0,100.0,8.0,13.0,0.0
9,4.34086296157309,5.0,100.0,8.0,13.0,0.0
